zip_code,date,ZORI,region_id,size_rank,region_name,region_type,state_name,state,city,metro,county_name,borough,neighborhood
10001,2017-09-30,3997.494231239007,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2017-10-31,3971.506128870963,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2017-11-30,3889.972942145668,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2017-12-31,3835.8082044481266,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-01-31,3779.835131362683,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-02-28,3800.708998484234,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-03-31,3854.0343181806456,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-04-30,3924.86310867775,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-05-31,4013.9059882007577,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-06-30,4061.074470175846,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-07-31,4077.941793125887,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-08-31,4094.101316884108,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-09-30,4065.408920852786,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-10-31,4066.5788744118568,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-11-30,4033.4956435826593,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2018-12-31,4016.4263643819368,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-01-31,3986.481361477188,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
