year,month,close
2006,June,1270.199951
2006,May,1270.089966
2006,April,1310.609985
2006,March,1294.869995
2006,February,1280.660034
2006,January,1280.079956
2005,December,1248.290039
2005,November,1249.47998
2005,October,1207.01001
2005,September,1228.810059
2005,August,1220.329956
2005,July,1234.180054
2005,June,1191.329956
2005,May,1191.5
2005,April,1156.849976
2005,March,1180.589966
2005,February,1203.599976
2005,January,1181.27002
2004,December,1211.920044
2004,November,1173.819946
2004,October,1130.199951
2004,September,1114.579956
2004,August,1104.23999
2004,July,1101.719971
2004,June,1140.839966
2004,May,1120.680054
2004,April,1107.300049
2004,March,1126.209961
2004,February,1144.939941
2004,January,1131.130005
2003,December,1111.920044
2003,November,1058.199951
2003,October,1050.709961
2003,September,995.969971
2003,August,1008.01001
2003,July,990.309998
2003,June,974.5
2003,May,963.590027
2003,April,916.919983
2003,March,848.179993
2003,February,841.150024
2003,January,855.700012
2002,December,879.820007
2002,November,936.309998
2002,October,885.76001
2002,September,815.280029
2002,August,916.070007
2002,July,911.619995
2002,June,989.820007
2002,May,1067.140015
2002,April,1076.920044
2002,March,1147.390015
2002,February,1106.72998
2002,January,1130.199951
2001,December,1148.079956
2001,November,1139.449951
2001,October,1059.780029
2001,September,1040.939941
2001,August,1133.579956
2001,July,1211.22998
2001,June,1224.380005
2001,May,1255.819946
2001,April,1249.459961
2001,March,1160.329956
2001,February,1239.939941
2001,January,1366.01001
2000,December,1320.280029
2000,November,1314.949951
2000,October,1429.400024
2000,September,1436.51001
2000,August,1517.680054
2000,July,1430.829956
2000,June,1454.599976
2000,May,1420.599976
2000,April,1452.430054
2000,March,1498.579956
2000,February,1366.420044
2000,January,1394.459961
1999,December,1469.25
1999,November,1388.910034
1999,October,1362.930054
1999,September,1282.709961
1999,August,1320.410034
1999,July,1328.719971
1999,June,1372.709961
1999,May,1301.839966
1999,April,1335.180054
1999,March,1286.369995
1999,February,1238.329956
1999,January,1279.640015
1998,December,1229.22998
1998,November,1163.630005
1998,October,1098.670044
1998,September,1017.01001
1998,August,957.280029
1998,July,1120.670044
1998,June,1133.839966
1998,May,1090.819946
1998,April,1111.75
1998,March,1101.75
1998,February,1049.339966
1998,January,980.280029
1997,December,970.429993
1997,November,955.400024
1997,October,914.619995
1997,September,947.280029
1997,August,899.469971
1997,July,954.309998
1997,June,885.140015
1997,May,848.280029
1997,April,801.340027
1997,March,757.119995
1997,February,790.820007
1997,January,786.159973
1996,December,740.73999
1996,November,757.02002
1996,October,705.27002
1996,September,687.330017
1996,August,651.98999
1996,July,639.950012
1996,June,670.630005
1996,May,669.119995
1996,April,654.169983
1996,March,645.5
1996,February,640.429993
1996,January,636.02002
1995,December,615.929993
1995,November,605.369995
1995,October,581.5
1995,September,584.409973
1995,August,561.880005
1995,July,562.059998
1995,June,544.75
1995,May,533.400024
1995,April,514.710022
1995,March,500.709991
1995,February,487.390015
1995,January,470.420013
1994,December,459.269989
1994,November,453.690002
1994,October,472.350006
1994,September,462.709991
1994,August,475.48999
1994,July,458.26001
1994,June,444.269989
1994,May,456.5
1994,April,450.910004
1994,March,445.769989
1994,February,467.140015
1994,January,481.609985
1993,December,466.450012
1993,November,461.790009
1993,October,467.829987
1993,September,458.929993
1993,August,463.559998
1993,July,448.130005
1993,June,450.529999
1993,May,450.190002
1993,April,440.190002
1993,March,451.670013
1993,February,443.380005
1993,January,438.779999
1992,December,435.709991
1992,November,431.350006
1992,October,418.679993
1992,September,417.799988
1992,August,414.029999
1992,July,424.209991
1992,June,408.140015
1992,May,415.350006
1992,April,414.950012
1992,March,403.690002
1992,February,412.700012
1992,January,408.779999
1991,December,417.089996
1991,November,375.220001
1991,October,392.450012
1991,September,387.859985
1991,August,395.429993
1991,July,387.809998
1991,June,371.160004
1991,May,389.829987
1991,April,375.339996
1991,March,375.220001
1991,February,367.070007
1991,January,343.929993
1990,December,330.220001
1990,November,322.220001
1990,October,304
1990,September,306.049988
1990,August,322.559998
1990,July,356.149994
1990,June,358.019989
1990,May,361.230011
1990,April,330.799988
1990,March,339.940002
1990,February,331.890015
1990,January,329.079987
1989,December,353.399994
1989,November,345.98999
1989,October,340.359985
1989,September,349.149994
1989,August,351.450012
1989,July,346.079987
1989,June,317.980011
1989,May,320.519989
1989,April,309.640015
1989,March,294.869995
1989,February,288.859985
1989,January,297.470001
1988,December,277.720001
1988,November,273.700012
1988,October,278.970001
1988,September,271.910004
1988,August,261.519989
1988,July,272.019989
1988,June,273.5
1988,May,262.160004
1988,April,261.329987
1988,March,258.890015
1988,February,267.820007
1988,January,257.070007
1987,December,247.080002
1987,November,230.300003
1987,October,251.789993
1987,September,321.829987
1987,August,329.799988
1987,July,318.660004
1987,June,304
1987,May,290.100006
1987,April,288.359985
1987,March,291.700012
1987,February,284.200012
1987,January,274.079987
1986,December,242.169998
1986,November,249.220001
1986,October,243.979996
1986,September,231.320007
1986,August,252.929993
1986,July,236.119995
1986,June,250.839996
1986,May,247.350006
1986,April,235.520004
1986,March,238.899994
1986,February,226.919998
1986,January,211.779999
1985,December,211.279999
1985,November,202.169998
1985,October,189.820007
1985,September,182.080002
1985,August,188.630005
1985,July,190.919998
1985,June,191.850006
1985,May,189.550003
1985,April,179.830002
1985,March,180.660004
1985,February,181.179993
1985,January,179.630005
1984,December,167.240005
1984,November,163.580002
1984,October,166.089996
1984,September,166.100006
1984,August,166.679993
1984,July,150.660004
1984,June,153.179993
1984,May,150.550003
1984,April,160.050003
1984,March,159.179993
1984,February,157.059998
1984,January,163.410004
1983,December,164.929993
1983,November,166.399994
1983,October,163.550003
1983,September,166.070007
1983,August,164.399994
1983,July,162.559998
1983,June,167.639999
1983,May,162.389999
1983,April,164.429993
1983,March,152.960007
1983,February,148.059998
1983,January,145.300003
1982,December,140.639999
1982,November,138.529999
1982,October,133.720001
1982,September,120.419998
1982,August,119.510002
1982,July,107.089996
1982,June,109.610001
1982,May,111.879997
1982,April,116.440002
1982,March,111.959999
1982,February,113.110001
1982,January,120.400002
1981,December,122.550003
1981,November,126.349998
1981,October,121.889999
1981,September,116.18
1981,August,122.790001
1981,July,130.919998
1981,June,131.210007
1981,May,132.589996
1981,April,132.809998
1981,March,136
1981,February,131.270004
1981,January,129.550003
1980,December,135.759995
1980,November,140.520004
1980,October,127.470001
1980,September,125.459999
1980,August,122.379997
1980,July,121.669998
1980,June,114.239998
1980,May,111.239998
1980,April,106.290001
