year,month,unemployment
1963,June,5.6
1963,July,5.6
1963,August,5.4
1963,September,5.5
1963,October,5.5
1963,November,5.7
1963,December,5.5
1964,January,5.6
1964,February,5.4
1964,March,5.4
1964,April,5.3
1964,May,5.1
1964,June,5.2
1964,July,4.9
1964,August,5
1964,September,5.1
1964,October,5.1
1964,November,4.8
1964,December,5
1965,January,4.9
1965,February,5.1
1965,March,4.7
1965,April,4.8
1965,May,4.6
1965,June,4.6
1965,July,4.4
1965,August,4.4
1965,September,4.3
1965,October,4.2
1965,November,4.1
1965,December,4
1966,January,4
1966,February,3.8
1966,March,3.8
1966,April,3.8
1966,May,3.9
1966,June,3.8
1966,July,3.8
1966,August,3.8
1966,September,3.7
1966,October,3.7
1966,November,3.6
1966,December,3.8
1967,January,3.9
1967,February,3.8
1967,March,3.8
1967,April,3.8
1967,May,3.8
1967,June,3.9
1967,July,3.8
1967,August,3.8
1967,September,3.8
1967,October,4
1967,November,3.9
1967,December,3.8
1968,January,3.7
1968,February,3.8
1968,March,3.7
1968,April,3.5
1968,May,3.5
1968,June,3.7
1968,July,3.7
1968,August,3.5
1968,September,3.4
1968,October,3.4
1968,November,3.4
1968,December,3.4
1969,January,3.4
1969,February,3.4
1969,March,3.4
1969,April,3.4
1969,May,3.4
1969,June,3.5
1969,July,3.5
1969,August,3.5
1969,September,3.7
1969,October,3.7
1969,November,3.5
1969,December,3.5
1970,January,3.9
1970,February,4.2
1970,March,4.4
1970,April,4.6
1970,May,4.8
1970,June,4.9
1970,July,5
1970,August,5.1
1970,September,5.4
1970,October,5.5
1970,November,5.9
1970,December,6.1
1971,January,5.9
1971,February,5.9
1971,March,6
1971,April,5.9
1971,May,5.9
1971,June,5.9
1971,July,6
1971,August,6.1
1971,September,6
1971,October,5.8
1971,November,6
1971,December,6
1972,January,5.8
1972,February,5.7
1972,March,5.8
1972,April,5.7
1972,May,5.7
1972,June,5.7
1972,July,5.6
1972,August,5.6
1972,September,5.5
1972,October,5.6
1972,November,5.3
1972,December,5.2
1973,January,4.9
1973,February,5
1973,March,4.9
1973,April,5
1973,May,4.9
1973,June,4.9
1973,July,4.8
1973,August,4.8
1973,September,4.8
1973,October,4.6
1973,November,4.8
1973,December,4.9
1974,January,5.1
1974,February,5.2
1974,March,5.1
1974,April,5.1
1974,May,5.1
1974,June,5.4
1974,July,5.5
1974,August,5.5
1974,September,5.9
1974,October,6
1974,November,6.6
1974,December,7.2
1975,January,8.1
1975,February,8.1
1975,March,8.6
1975,April,8.8
1975,May,9
1975,June,8.8
1975,July,8.6
1975,August,8.4
1975,September,8.4
